('g2_A', 'green') - ('g1_B', 'red'), 110.3377
('g1_B', 'red') - ('g2_A', 'white'), 89.8007
('g2_A', 'white') - ('g1_B', 'red'), 89.8007
('g1_B', 'red') - ('g2_A', 'blue'), 100.0974
('g2_A', 'blue') - ('g1_B', 'red'), 100.0974
('g1_B', 'red') - ('g2_B', 'red'), 68.4979
('g2_B', 'red') - ('g1_B', 'red'), 68.4979
('g1_B', 'red') - ('g2_B', 'green'), 79.1794
('g2_B', 'green') - ('g1_B', 'red'), 79.1794
('g1_B', 'red') - ('g2_B', 'white'), 58.7017
('g2_B', 'white') - ('g1_B', 'red'), 58.7017
('g1_B', 'red') - ('g2_B', 'blue'), 70.0809
('g2_B', 'blue') - ('g1_B', 'red'), 70.0809
('g1_B', 'red') - ('g2_C', 'red'), 42.3128
('g2_C', 'red') - ('g1_B', 'red'), 42.3128
('g1_B', 'red') - ('g2_C', 'green'), 55.8972
('g2_C', 'green') - ('g1_B', 'red'), 55.8972
('g1_B', 'red') - ('g2_C', 'white'), 38.4118
('g2_C', 'white') - ('g1_B', 'red'), 38.4118
('g1_B', 'red') - ('g2_C', 'blue'), 52.7881
('g2_C', 'blue') - ('g1_B', 'red'), 52.7881
('g1_B', 'red') - ('g3_A', 'red'), 149.4320
('g3_A', 'red') - ('g1_B', 'red'), 149.4320
('g1_B', 'red') - ('g3_A', 'green'), 162.1084
('g3_A', 'green') - ('g1_B', 'red'), 162.1084
('g1_B', 'red') - ('g3_A', 'white'), 151.5579
('g3_A', 'white') - ('g1_B', 'red'), 151.5579
('g1_B', 'red') - ('g3_A', 'blue'), 165.9095
('g3_A', 'blue') - ('g1_B', 'red'), 165.9095
('g1_B', 'red') - ('g3_B', 'red'), 136.7968
('g3_B', 'red') - ('g1_B', 'red'), 136.7968
('g1_B', 'red') - ('g3_B', 'green'), 145.0392
('g3_B', 'green') - ('g1_B', 'red'), 145.0392
('g1_B', 'red') - ('g3_B', 'white'), 125.1677
('g3_B', 'white') - ('g1_B', 'red'), 125.1677
('g1_B', 'red') - ('g3_B', 'blue'), 131.8041
('g3_B', 'blue') - ('g1_B', 'red'), 131.8041
('g1_B', 'red') - ('g3_C', 'red'), 98.2387
('g3_C', 'red') - ('g1_B', 'red'), 98.2387
('g1_B', 'red') - ('g3_C', 'green'), 103.5274
('g3_C', 'green') - ('g1_B', 'red'), 103.5274
('g1_B', 'red') - ('g3_C', 'white'), 84.7621
('g3_C', 'white') - ('g1_B', 'red'), 84.7621
('g1_B', 'red') - ('g3_C', 'blue'), 89.9611
('g3_C', 'blue') - ('g1_B', 'red'), 89.9611
('g1_B', 'red') - ('g4_A', 'red'), 141.5882
('g4_A', 'red') - ('g1_B', 'red'), 141.5882
('g1_B', 'red') - ('g4_A', 'green'), 127.2119
('g4_A', 'green') - ('g1_B', 'red'), 127.2119
('g1_B', 'red') - ('g4_A', 'white'), 137.6872
('g4_A', 'white') - ('g1_B', 'red'), 137.6872
('g1_B', 'red') - ('g4_A', 'blue'), 124.1028
('g4_A', 'blue') - ('g1_B', 'red'), 124.1028
('g1_B', 'red') - ('g4_B', 'red'), 121.2983
('g4_B', 'red') - ('g1_B', 'red'), 121.2983
('g1_B', 'red') - ('g4_B', 'green'), 109.9191
('g4_B', 'green') - ('g1_B', 'red'), 109.9191
('g1_B', 'red') - ('g4_B', 'white'), 111.5021
('g4_B', 'white') - ('g1_B', 'red'), 111.5021
('g1_B', 'red') - ('g4_B', 'blue'), 100.8206
('g4_B', 'blue') - ('g1_B', 'red'), 100.8206
('g1_B', 'red') - ('g4_C', 'red'), 90.1993
('g4_C', 'red') - ('g1_B', 'red'), 90.1993
('g1_B', 'red') - ('g4_C', 'green'), 79.9026
('g4_C', 'green') - ('g1_B', 'red'), 79.9026
('g1_B', 'red') - ('g4_C', 'white'), 80.2847
